"ROI#","ROI ID","Canonical","uCT #","uCT qual","Tree ID","Tree name"
"","","","","",424,"1.pres.p.next ganglion 333"
"","","","","",425,"-"
"","","","","",427," 283+1.pres.p.30"
"","","","","",428,"1.pres.p.31-not found"
"","","","","",429,"1.prep.p.?"
"","","","","",432,"-"
"","","","","",433,"1.pres.p.not found"
"","","","","",442,"375"
"","","","","",445,"1.pres.p.1-next ggl + 45+328+329+330+331"
"","","","","",446,"-"
"","","","","",452,"-"
"","","","","",458,"35 (i)"
"","","","","",461,"234 (o)"
"","","","","",473,"1.pres.p.no found"
"","","","","",474,"Next ggl.1.pres.p.54 +91+156+157+158 +416 + 475"
"","","","","",477,"1.pres.p.not"
"","","","","",495,"162+1.pres.p.73 +224 +225"
"","","","","",496,"248+1.pres.p.74+410"
"","","","","",499,"1.pres.p."
"","","","","",500,"213 +1.pres.p.75 +283+284"
"","","","","",502,"can not be continued"
"","","","","",505,"1.pres.p.can not follow"
"","","","","",506,"1.pres.p.can not followed"
"","","","","",508,"1.pres.p.not found"
"","","","","",510,"1.pres.p.not found"
"","","","","",514," 273+pres.p.87+88+89 + 229"
"","","","","",520,"216 +1.pres.p.59 +78 + 100"
"","","","","",522,"1.prep.p. not found"
"","","","","",523,"1.pres.p.106-posterior ggl"
"","","","","",524,"1 (fr)-uncertain branch"
"","","","","",530,"1.pres.p.not found"
"","","","","",531,"1.pres.p.not sure"
"","","","","",533,"1.pres.p.not found"
"","","","","",535,"1.pres.p. not found"
"","","","","",541,"1.pres.p.not found"
"","","","","",543,"1.pres.p.not found"
"","","","","",551,"1.pres.p.not found"
"","","","","",553,"167+1.pres.p.193"
"","","","","",556,"218 (ad)"
"","","","","",560,"1.pres.p.(anterior connective)219+220+221 +393 +394"
"","","","","",561,"333+1.pres.p.240+241+242+243 +244 +245"
"","","","","",564,"303+1.pres.p.250+251+252 + 256 + 373 +374 + 375"
"","","","","",566,"1 pres.p. not found"
"","","","","",573,"1.pres.p. to the next ganglion (anterior, posterior)"
"","","","","",575,"1.pres.p.not found"
"","","","","",576,"1.pres.p.not found"
"","","","","",578,"1.pres.p.not found"
"","","","","",579,"1.pres.p.not found"
"","","","","",582,"1.pres.p.not found"
"","","","","",585,"125+1.pres.p.43+326 +327+334 +335+336 +345"
"","","","","",586,"-"
"","","","","",589,"45+1.pres.p.381+382+383+384 + 453+454 + 462 +463-"
"","","","","",590,"1.pres.p.not found"
"","","","","",591,"1.pres.p.not found + -"
