"phi","r","g","b"
0.832,0.345118,1,0
0.833,0.343472,1,3.01354e-17
0.834,0.341816,1,0
0.835,0.34015,1,0
0.836,0.338474,1,0
0.837,0.336788,1,0
0.838,0.335092,1,0
0.839,0.333385,1,0
0.84,0.331708,1,0
0.841,0.330071,1,0
0.842,0.328424,1,0
0.843,0.326768,1,0
0.844,0.325101,1,0
0.845,0.323424,1,0
0.846,0.321737,1,0
0.847,0.320039,1,0
0.848,0.31833,1,0
0.849,0.31661,1,0
0.85,0.314879,1,0
0.851,0.313137,1,0
0.852,0.311383,1,0
0.853,0.309617,1,0
0.854,0.307839,1,0
0.855,0.306048,1,0
0.856,0.304246,1,0
0.857,0.30243,1,7.32588e-17
0.858,0.3007,1,0
0.859,0.298965,1,0
0.86,0.297218,1,0
0.861,0.295459,1,0
0.862,0.293688,1,0
0.863,0.291904,1,0
0.864,0.290106,1,0
0.865,0.288296,1,0
0.866,0.286472,1,0
0.867,0.284635,1,0
0.868,0.282783,1,0
0.869,0.280918,1,0
0.87,0.279037,1,0
0.871,0.277142,1,0
0.872,0.275231,1,0
0.873,0.273305,1,0
0.874,0.271362,1,0
0.875,0.269456,1,0
0.876,0.267604,1,0
0.877,0.265736,1,0
0.878,0.263854,1,0
0.879,0.261955,1,0
0.88,0.260041,1,1.74854e-16
0.881,0.25811,1,2.9503e-17
0.882,0.256163,1,0
0.883,0.254198,1,0
0.884,0.252215,1,1.82449e-16
0.885,0.250215,1,2.26618e-16
0.886,0.248195,1,0
0.887,0.246157,1,0
0.888,0.2441,1,5.23269e-19
0.889,0.242022,1,4.03294e-16
0.89,0.239924,1,8.88614e-17
0.891,0.237805,1,0
0.892,0.235664,1,1.772e-16
0.893,0.233636,1,2.15835e-16
0.894,0.231598,1,8.22488e-17
0.895,0.22954,1,0
0.896,0.227461,1,4.59664e-18
0.897,0.22536,1,0
0.898,0.223237,1,9.60261e-17
0.899,0.221091,1,0
0.9,0.218922,1,1.83739e-17
0.901,0.216728,1,0
0.902,0.214509,1,0
0.903,0.212264,1,0
0.904,0.209993,1,0
0.905,0.207694,1,0
0.906,0.205366,1,0
0.907,0.203009,1,0
0.908,0.200621,1,0
0.909,0.198202,1,0
0.91,0.195827,1,0
0.911,0.193525,1,0
0.912,0.191193,1,4.40414e-17
0.913,0.18883,1,0
0.914,0.186434,1,0
0.915,0.184004,1,0
0.916,0.18154,1,0
0.917,0.179039,1,0
0.918,0.176499,1,0
0.919,0.173921,1,1.14906e-16
0.92,0.171301,1,0
0.921,0.168637,1,0
0.922,0.165929,1,0
0.923,0.163173,1,0
0.924,0.160368,1,0
0.925,0.15751,1,0
0.926,0.154598,1,0
0.927,0.151628,1,0
0.928,0.14882,1,0
0.929,0.145975,1,0
0.93,0.143073,1,0
0.931,0.140109,1,0
0.932,0.137082,1,0
0.933,0.133986,1,0
0.934,0.130818,1,0
0.935,0.127572,1,0
0.936,0.124243,1,0
0.937,0.120825,1,0
0.938,0.117311,1,0
0.939,0.113695,1,0
0.94,0.109966,1,0
0.941,0.106116,1,0
0.942,0.102132,1,1.08218e-16
0.943,0.0980012,1,0
